pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_met
TOI-1860 b,TOI-1860,1,1,1,Transit,2022,1.0662107,0.0204,1.31,,1885,5752,0.04
TOI-1883 b,TOI-1883,1,1,1,Transit,2024,4.50638,0.0468,5.65,,524.92,3477,
TOI-1898 b,TOI-1898,1,1,1,Transit,2024,45.52234,0.269,9.39553231,129,674.54,6241,-0.095
TOI-1899 b,TOI-1899,1,1,1,Transit,2020,29.090312,0.1525,11.09689089,212.9450327,378,3926,0.28
TOI-1937 A b,TOI-1937 A,1,2,1,Transit,2023,0.94667944,0.01932,13.97759893,638.8350981,2097,5814,0.196
TOI-198 b,TOI-198,1,1,1,Transit,2023,10.2152,0.1,1.44,,368,3650,-0.7
TOI-199 b,TOI-199,1,1,2,Transit,2023,104.854,0.4254,9.07927437,54.03082919,,5255,0.22
TOI-199 c,TOI-199,1,1,2,Transit Timing Variations,2023,273.69,0.807,,88.99195396,,5255,0.22
TOI-1994 b,TOI-1994,1,1,1,Transit,2024,4.0337142,0.0613,13.67495645,7024.007795,2290,7700,-0.01
TOI-2000 b,TOI-2000,1,1,2,Transit,2023,3.09833,0.04271,2.7,11,1488,5611,0.439
TOI-2000 c,TOI-2000,1,1,2,Transit,2023,9.127055,0.0878,8.14,81.7,1038,5611,0.439
TOI-2005 b,TOI-2005,1,1,1,Transit,2025,17.305904,0.16,11.99360935,2034.101805,,7130,0
TOI-201 b,TOI-201,1,1,2,Transit,2021,52.977946,0.3026,11.82547464,184.3404761,,,0.24
TOI-201 c,TOI-201,1,1,2,Transit Timing Variations,2025,2800,4.28,11.13051784,4513.163379,,,0.24
TOI-2010 b,TOI-2010,1,1,1,Transit,2023,141.834025,0.5516,11.81426566,408.7273314,400.2,5929,0.168
TOI-2015 b,TOI-2015,1,1,2,Transit,2023,3.348237,0.029322,3.309,9.2,530.9,3297,-0.31
TOI-2015 c,TOI-2015,1,1,2,Transit Timing Variations,2025,5.582796,0.041232,,8.91,448,3297,-0.31
TOI-2018 b,TOI-2018,1,1,1,Transit,2023,7.435583,,2.268,9.2,,4174,-0.58
TOI-2019 b,TOI-2019,1,1,1,Transit,2024,15.3444,0.128,5.33275337,34.4,917.46,5626,0.409
TOI-2025 b,TOI-2025,1,1,1,Transit,2022,8.8720982,0.0892,11.89272852,1144.182265,1166,5977,0.15
TOI-2031 A b,TOI-2031 A,1,2,1,Transit,2025,5.71548654,0.066,14.20177855,254.2627256,1358,6490,-0.24
TOI-2046 b,TOI-2046,1,1,1,Transit,2022,1.4971842,,16.14093221,731.0053361,,6250,-0.06
TOI-2048 b,TOI-2048,1,1,1,Transit,2022,13.79019,,2.61,,,5185,0.02
TOI-206 b,TOI-206,1,1,1,Transit,2022,0.7363104,0.0112,1.3,,910,3383,
TOI-2068 b,TOI-2068,1,1,1,Transit,2024,7.768915,0.0632,1.821,,520.62,3710,0.27
TOI-2076 b,TOI-2076,1,1,4,Transit,2021,10.355235,,2.39,,738,5201,0.017
TOI-2076 c,TOI-2076,1,1,4,Transit,2021,21.015327,0.142,3.69441587,55,543.16,5192,0.02
TOI-2076 d,TOI-2076,1,1,4,Transit,2021,35.125686,0.199,3.43087751,29,457.68,5192,0.02
TOI-2076 e,TOI-2076,1,1,4,Transit,2025,3.0223445,0.0385,1.355,,1138,5192,0.02
